1,71.17,-156.47
2,64.51,-147.43
3,61.13,-149.53
4,58.2,-134.27
5,49.16,-123.07
6,53.33,-113.28
7,51.03,-114.05
8,50.25,-104.39
9,52.07,-106.38
10,49.53,-97.09
11,58.46,-94.1
12,43.39,-79.23
13,45.25,-75.42
14,45.31,-73.34
15,46.49,-71.14
16,44.39,-63.36
17,47.34,-52.43
18,47.36,-122.2
19,47.4,-117.23
20,38.35,-121.3
21,37.48,-122.24
22,34.03,-118.15
23,32.43,-117.09
24,40.46,-111.53
25,33.27,-112.05
26,39.43,-105.01
27,35.05,-106.4
28,31.45,-106.29
29,46.47,-92.06
30,44.59,-93.13
31,41.16,-95.57
32,39.07,-94.39
33,35.28,-97.32
34,32.47,-96.48
35,29.46,-95.22
36,43.02,-87.55
37,41.53,-87.38
38,38.39,-90.25
39,35.08,-90.03
40,29.58,-90.07
41,42.2,-83.03
42,40.26,-80
43,39.06,-84.31
44,33.45,-84.23
45,42.21,-71.04
46,40.43,-74.01
47,39.57,-75.07
48,38.54,-77.01
49,30.2,-81.4
50,25.46,-80.12
51,25.05,-77.21
52,28.38,-106.05
53,25.33,-103.26
54,25.4,-100.19
55,22.13,-97.51
56,22.09,-100.59
57,20.4,-103.2
58,19.24,-99.09
59,19.03,-98.12
60,19.2,-96.4
61,16.51,-99.55
62,17.03,-96.43
63,17.59,-92.55
64,20.58,-89.37
65,17.3,-88.12
66,14.38,-90.31
67,13.42,-89.12
68,14.06,-87.13
69,12.09,-86.17
70,9.56,-84.05
71,8.58,-79.32
72,23.08,-82.22
73,22.24,-79.58
74,20.01,-75.49
75,18,-76.48
76,18.32,-72.2
77,18.28,-69.54
78,18.28,-66.07
79,14.36,-61.05
80,13.06,-59.37
81,10.39,-61.31
82,12.06,-68.56
83,4.56,-52.2
84,5.5,-55.1
85,6.48,-58.1
86,10.3,-66.56
87,10.4,-71.37
88,10.59,-74.48
89,6.15,-75.35
90,4.36,-74.05
91,3.27,-76.31
92,-0.56,-91.01
93,-0.13,-78.3
94,-1.4,-78.38
95,-2.1,-79.5
96,-3.46,-73.15
97,-8.07,-79.02
98,-12.03,-77.03
99,-13.31,-71.59
100,-16.24,-71.33
101,-16.3,-68.09
102,-17.48,-63.1
103,-19.35,-65.45
104,-23.39,-70.24
105,-33.27,-70.4
106,-36.5,-73.03
107,-53.09,-70.55
108,-51.42,-57.51
109,-38.43,-62.17
110,-38,-57.33
111,-34.5,-56.12
112,-34.36,-58.27
113,-32.57,-60.4
114,-31.24,-64.11
115,-32.53,-68.49
116,-26.49,-65.13
117,-25.16,-57.4
118,-30.04,-51.11
119,-27.35,-48.34
120,-25.25,-49.15
121,-23.32,-46.37
122,-22.54,-43.14
123,-20.23,-43.3
124,-19.55,-43.56
125,-20.27,-54.37
126,-15.35,-56.05
127,-16.4,-49.16
128,-15.47,-47.55
129,-12.59,-38.31
130,-8.03,-34.54
131,-5.47,-35.13
132,-3.43,-38.3
133,-5.05,-42.49
134,-2.31,-44.16
135,-1.27,-48.29
136,-3.08,-60.01
137,-8.46,-63.54
138,45.28,9.12
139,45.27,11.00
140,45.27,12.21
141,45.40,13.46
142,44.25,8.57
143,44.29,11.20
144,43.46,11.15
145,43.55,12.28
146,39.20,9.00
147,41.54,12.29
148,40.51,14.17
149,41.27,15.34
150,41.07,16.52
151,40.28,17.15
152,38.11,15.33
153,37.30,15.06
154,38.07,13.21
155,35.54,14.31
156,53.24,14.32
157,54.23,18.40
158,53.08,18.00
159,52.25,16.55
160,51.46,19.30
161,52.15,21.00
162,53.09,23.09
163,51.06,17.00
164,50.16,19.00
165,50.03,19.58
166,51.15,22.35
167,49.45,13.23
168,50.05,14.26
169,49.50,18.17
170,49.12,16.37
171,48.09,17.07
172,48.43,21.15
173,47.30,19.05
174,47.32,21.38
175,46.05,18.13
176,46.15,20.09
177,45.45,21.13
178,46.47,23.36
179,47.10,27.35
180,45.48,24.09
181,45.39,25.37
182,44.26,26.06
183,44.11,28.39
184,46.03,14.31
185,45.20,14.27
186,45.48,15.58
187,43.31,16.27
188,43.52,18.25
189,44.50,20.30
190,42.38,18.07
191,41.59,21.26
192,41.20,19.50
193,42.41,23.19
194,42.09,24.45
195,43.13,27.55
196,42.30,27.28
197,39.36,19.56
198,40.38,22.56
199,38.15,21.44
200,37.58,23.43
201,35.20,25.09
202,35.10,33.22